jobset,unit_id,coder_id,status,variable,value,time_question,time_answer
All,12735,123,DONE,relevant-1,Yes,2023-11-17T09:08:17.682Z,2023-11-17T09:08:28.080Z
All,12735,123,DONE,relevant-2,Empirical study,2023-11-17T09:08:28.668Z,2023-11-17T09:08:29.814Z
All,12735,123,DONE,relevant-3,No (or unclear),2023-11-17T09:08:30.193Z,2023-11-17T09:08:30.838Z
All,12321,123,DONE,relevant-1,Yes,2023-11-17T09:08:31.786Z,2023-11-17T09:08:55.449Z
All,12321,123,DONE,relevant-2,Methodological paper,2023-11-17T09:08:56.041Z,2023-11-17T09:08:57.693Z
All,12321,123,DONE,relevant-3,Yes,2023-11-17T09:08:58.185Z,2023-11-17T09:08:59.081Z
All,12821,123,DONE,relevant-1,Yes,2023-11-17T09:08:59.981Z,2023-11-17T09:09:25.805Z
All,12821,123,DONE,relevant-2,Methodological paper,2023-11-17T09:09:26.512Z,2023-11-17T09:09:27.297Z
All,12821,123,DONE,relevant-3,Yes,2023-11-17T09:09:27.592Z,2023-11-17T09:09:28.699Z
All,2859,123,DONE,relevant-1,No (or unclear),2023-11-17T09:09:30.495Z,2023-11-17T09:10:33.736Z
All,2859,123,DONE,relevant-2,IRRELEVANT,,
All,2859,123,DONE,relevant-3,IRRELEVANT,,
All,5416,123,DONE,relevant-1,Yes,2023-11-17T09:10:35.557Z,2023-11-17T09:10:45.010Z
All,5416,123,DONE,relevant-2,Methodological paper,2023-11-17T09:10:45.776Z,2023-11-17T09:10:47.935Z
All,5416,123,DONE,relevant-3,Yes,2023-11-17T09:10:48.305Z,2023-11-17T09:10:49.464Z
All,id,127,DONE,welcome,326ac7a144a90ba7d4035de4beea686dcaeb4f86,2023-11-17T16:49:20.003Z,2023-11-17T16:49:25.347Z
All,1017,127,DONE,relevant-1,Yes,2023-11-17T16:49:26.537Z,2023-11-17T16:49:50.634Z
All,1017,127,DONE,relevant-2,Methodological paper,2023-11-17T16:49:51.088Z,2023-11-17T16:49:55.046Z
All,1017,127,DONE,relevant-3,Yes,2023-11-17T16:49:55.249Z,2023-11-17T16:49:57.688Z
All,8952,127,DONE,relevant-1,Yes,2023-11-17T16:50:07.520Z,2023-11-17T16:50:21.178Z
All,8952,127,DONE,relevant-2,Methodological paper,2023-11-17T16:50:21.689Z,2023-11-17T16:50:22.683Z
All,8952,127,DONE,relevant-3,Yes,2023-11-17T16:50:22.946Z,2023-11-17T16:50:24.247Z
All,4780,127,DONE,relevant-1,No (or unclear),2023-11-17T16:50:24.935Z,2023-11-17T16:50:45.341Z
All,4780,127,DONE,relevant-2,IRRELEVANT,,
All,4780,127,DONE,relevant-3,IRRELEVANT,,
All,12428,127,DONE,relevant-1,No (or unclear),2023-11-17T16:50:46.353Z,2023-11-17T16:51:09.960Z
All,12428,127,DONE,relevant-2,IRRELEVANT,,
All,12428,127,DONE,relevant-3,IRRELEVANT,,
All,11514,127,DONE,relevant-1,Yes,2023-11-17T16:51:11.926Z,2023-11-17T16:51:35.161Z
All,11514,127,DONE,relevant-2,Empirical study,2023-11-17T16:51:35.845Z,2023-11-17T16:51:36.887Z
All,11514,127,DONE,relevant-3,Yes,2023-11-17T16:51:37.102Z,2023-11-17T16:51:38.223Z
All,15727,127,DONE,relevant-1,Yes,2023-11-17T16:51:38.995Z,2023-11-17T16:51:45.944Z
All,15727,127,DONE,relevant-2,Methodological paper,2023-11-17T16:51:46.505Z,2023-11-17T16:51:47.407Z
All,15727,127,DONE,relevant-3,Yes,2023-11-17T16:51:47.594Z,2023-11-17T16:51:48.898Z
All,12641,127,DONE,relevant-1,Yes,2023-11-17T16:51:49.640Z,2023-11-17T16:52:06.837Z
All,12641,127,DONE,relevant-2,Methodological paper,2023-11-17T16:52:07.289Z,2023-11-17T16:52:08.356Z
All,12641,127,DONE,relevant-3,Yes,2023-11-17T16:52:08.646Z,2023-11-17T16:52:09.891Z
All,9698,127,DONE,relevant-1,Yes,2023-11-17T16:52:10.634Z,2023-11-17T16:52:20.780Z
All,9698,127,DONE,relevant-2,Methodological paper,2023-11-17T16:52:21.264Z,2023-11-17T16:52:22.130Z
All,9698,127,DONE,relevant-3,Yes,2023-11-17T16:52:22.324Z,2023-11-17T16:52:23.352Z
All,4054,127,DONE,relevant-1,Yes,2023-11-17T16:52:24.122Z,2023-11-17T16:52:55.233Z
All,4054,127,DONE,relevant-2,Methodological paper,2023-11-17T16:52:55.764Z,2023-11-17T16:52:56.512Z
All,4054,127,DONE,relevant-3,Yes,2023-11-17T16:52:56.800Z,2023-11-17T16:52:57.768Z
All,14110,127,DONE,relevant-1,No (or unclear),2023-11-17T16:52:58.471Z,2023-11-17T16:53:22.224Z
All,14110,127,DONE,relevant-2,IRRELEVANT,,
All,14110,127,DONE,relevant-3,IRRELEVANT,,
All,15098,127,DONE,relevant-1,Yes,2023-11-17T16:53:23.178Z,2023-11-17T16:53:44.264Z
All,15098,127,DONE,relevant-2,Methodological paper,2023-11-17T16:53:44.750Z,2023-11-17T16:53:45.549Z
All,15098,127,DONE,relevant-3,Yes,2023-11-17T16:53:45.787Z,2023-11-17T16:53:46.699Z
All,10162,127,DONE,relevant-1,Yes,2023-11-17T16:53:47.354Z,2023-11-17T16:54:02.527Z
All,10162,127,DONE,relevant-2,Methodological paper,2023-11-17T16:54:03.019Z,2023-11-17T16:54:03.721Z
All,10162,127,DONE,relevant-3,Yes,2023-11-17T16:54:03.958Z,2023-11-17T16:54:04.864Z
All,1301,127,DONE,relevant-1,No (or unclear),2023-11-17T16:54:05.526Z,2023-11-17T16:54:25.644Z
All,1301,127,DONE,relevant-2,IRRELEVANT,,
All,1301,127,DONE,relevant-3,IRRELEVANT,,
All,9778,127,DONE,relevant-1,No (or unclear),2023-11-17T16:54:26.621Z,2023-11-17T16:55:02.827Z
All,9778,127,DONE,relevant-2,IRRELEVANT,,
All,9778,127,DONE,relevant-3,IRRELEVANT,,
All,1800,127,DONE,relevant-1,Yes,2023-11-17T16:55:03.803Z,2023-11-17T16:55:14.587Z
All,1800,127,DONE,relevant-2,Empirical study,2023-11-17T16:55:15.184Z,2023-11-17T16:55:16.084Z
All,1800,127,DONE,relevant-3,Yes,2023-11-17T16:55:16.331Z,2023-11-17T16:55:17.725Z
All,14854,127,DONE,relevant-1,Yes,2023-11-17T16:55:18.410Z,2023-11-17T16:55:23.505Z
All,14854,127,DONE,relevant-2,Methodological paper,2023-11-17T16:55:23.942Z,2023-11-17T16:55:30.428Z
All,14854,127,DONE,relevant-3,Yes,2023-11-17T16:55:30.744Z,2023-11-17T16:55:34.198Z
All,11874,127,DONE,relevant-1,Yes,2023-11-17T16:55:34.928Z,2023-11-17T16:55:50.382Z
All,11874,127,DONE,relevant-2,Methodological paper,2023-11-17T16:55:50.796Z,2023-11-17T16:55:52.363Z
All,11874,127,DONE,relevant-3,Yes,2023-11-17T16:55:52.570Z,2023-11-17T16:55:53.448Z
All,9334,127,DONE,relevant-1,Yes,2023-11-17T16:55:54.139Z,2023-11-17T16:56:05.470Z
All,9334,127,DONE,relevant-2,Empirical study,2023-11-17T16:56:05.918Z,2023-11-17T16:56:06.783Z
All,9334,127,DONE,relevant-3,Yes,2023-11-17T16:56:06.984Z,2023-11-17T16:56:08.985Z
All,1129,127,DONE,relevant-1,No (or unclear),2023-11-17T16:56:09.807Z,2023-11-17T16:56:36.113Z
All,1129,127,DONE,relevant-2,IRRELEVANT,,
All,1129,127,DONE,relevant-3,IRRELEVANT,,
All,10351,127,DONE,relevant-1,No (or unclear),2023-11-17T16:56:37.170Z,2023-11-17T16:56:53.545Z
All,10351,127,DONE,relevant-2,IRRELEVANT,,
All,10351,127,DONE,relevant-3,IRRELEVANT,,
All,878,127,DONE,relevant-1,Yes,2023-11-17T16:56:54.714Z,2023-11-17T16:57:03.245Z
All,878,127,DONE,relevant-2,Methodological paper,2023-11-17T16:57:03.693Z,2023-11-17T16:57:05.333Z
All,878,127,DONE,relevant-3,Yes,2023-11-17T16:57:05.678Z,2023-11-17T16:57:06.917Z
All,10001,127,DONE,relevant-1,Yes,2023-11-17T16:57:07.666Z,2023-11-17T16:57:20.393Z
All,10001,127,DONE,relevant-2,Methodological paper,2023-11-17T16:57:20.822Z,2023-11-17T16:57:21.629Z
All,10001,127,DONE,relevant-3,Yes,2023-11-17T16:57:21.865Z,2023-11-17T16:57:23.130Z
All,8694,127,DONE,relevant-1,Yes,2023-11-17T16:57:23.959Z,2023-11-17T16:57:33.218Z
All,8694,127,DONE,relevant-2,Methodological paper,2023-11-17T16:57:33.731Z,2023-11-17T16:57:34.773Z
All,8694,127,DONE,relevant-3,Yes,2023-11-17T16:57:35.026Z,2023-11-17T16:57:38.934Z
All,6029,127,DONE,relevant-1,Yes,2023-11-17T16:57:39.625Z,2023-11-17T16:57:52.922Z
All,6029,127,DONE,relevant-2,Methodological paper,2023-11-17T16:57:53.407Z,2023-11-17T16:57:54.384Z
All,6029,127,DONE,relevant-3,Yes,2023-11-17T16:57:54.661Z,2023-11-17T16:57:55.549Z
All,6633,127,DONE,relevant-1,Yes,2023-11-17T16:57:56.230Z,2023-11-17T16:58:09.218Z
All,6633,127,DONE,relevant-2,Methodological paper,2023-11-17T16:58:09.805Z,2023-11-17T16:58:10.894Z
All,6633,127,DONE,relevant-3,Yes,2023-11-17T16:58:11.162Z,2023-11-17T16:58:13.288Z
All,15018,127,DONE,relevant-1,Yes,2023-11-17T16:58:13.988Z,2023-11-17T16:58:51.956Z
All,15018,127,DONE,relevant-2,something else,2023-11-17T16:58:52.430Z,2023-11-17T16:58:57.501Z
All,15018,127,DONE,relevant-3,IRRELEVANT,,
All,5076,127,DONE,relevant-1,Yes,2023-11-17T16:58:58.160Z,2023-11-17T16:59:14.065Z
All,5076,127,DONE,relevant-2,Methodological paper,2023-11-17T16:59:14.558Z,2023-11-17T16:59:15.229Z
All,5076,127,DONE,relevant-3,Yes,2023-11-17T16:59:15.497Z,2023-11-17T16:59:16.330Z
All,13358,127,DONE,relevant-1,Yes,2023-11-17T16:59:17.066Z,2023-11-17T16:59:39.940Z
All,13358,127,DONE,relevant-2,Empirical study,2023-11-17T16:59:40.355Z,2023-11-17T16:59:41.381Z
All,13358,127,DONE,relevant-3,Yes,2023-11-17T16:59:41.607Z,2023-11-17T16:59:42.354Z
All,2901,127,DONE,relevant-1,No (or unclear),2023-11-17T16:59:43.075Z,2023-11-17T16:59:59.110Z
All,2901,127,DONE,relevant-2,IRRELEVANT,,
All,2901,127,DONE,relevant-3,IRRELEVANT,,
All,7674,127,DONE,relevant-1,Yes,2023-11-17T17:00:00.408Z,2023-11-17T17:00:03.874Z
All,7674,127,DONE,relevant-2,Methodological paper,2023-11-17T17:00:04.376Z,2023-11-17T17:00:05.379Z
All,7674,127,DONE,relevant-3,Yes,2023-11-17T17:00:05.628Z,2023-11-17T17:00:06.558Z
All,12679,127,DONE,relevant-1,Yes,2023-11-17T17:00:07.304Z,2023-11-17T17:00:14.921Z
All,12679,127,DONE,relevant-2,Methodological paper,2023-11-17T17:00:15.343Z,2023-11-17T17:00:16.157Z
All,12679,127,DONE,relevant-3,Yes,2023-11-17T17:00:16.355Z,2023-11-17T17:00:17.656Z
All,4655,127,DONE,relevant-1,Yes,2023-11-17T17:00:18.361Z,2023-11-17T17:00:33.815Z
All,4655,127,DONE,relevant-2,Empirical study,2023-11-17T17:00:34.248Z,2023-11-17T17:00:35.071Z
All,4655,127,DONE,relevant-3,Yes,2023-11-17T17:00:35.290Z,2023-11-17T17:00:36.107Z
All,11372,127,DONE,relevant-1,No (or unclear),2023-11-17T17:00:36.850Z,2023-11-17T17:01:03.121Z
All,11372,127,DONE,relevant-2,IRRELEVANT,,
All,11372,127,DONE,relevant-3,IRRELEVANT,,
All,2160,127,DONE,relevant-1,Yes,2023-11-17T17:01:04.227Z,2023-11-17T17:01:15.988Z
All,2160,127,DONE,relevant-2,Methodological paper,2023-11-17T17:01:16.443Z,2023-11-17T17:01:19.105Z
All,2160,127,DONE,relevant-3,Yes,2023-11-17T17:01:19.367Z,2023-11-17T17:01:22.399Z
All,3479,127,DONE,relevant-1,Yes,2023-11-17T17:01:23.127Z,2023-11-17T17:01:32.958Z
All,3479,127,DONE,relevant-2,Empirical study,2023-11-17T17:01:33.467Z,2023-11-17T17:01:34.414Z
All,3479,127,DONE,relevant-3,Yes,2023-11-17T17:01:34.608Z,2023-11-17T17:01:35.600Z
All,1949,127,DONE,relevant-1,No (or unclear),2023-11-17T17:01:36.301Z,2023-11-17T17:01:55.569Z
All,1949,127,DONE,relevant-2,IRRELEVANT,,
All,1949,127,DONE,relevant-3,IRRELEVANT,,
All,2581,127,DONE,relevant-1,No (or unclear),2023-11-17T17:01:56.446Z,2023-11-17T17:02:22.761Z
All,2581,127,DONE,relevant-2,IRRELEVANT,,
All,2581,127,DONE,relevant-3,IRRELEVANT,,
All,1531,127,DONE,relevant-1,Yes,2023-11-17T17:02:23.776Z,2023-11-17T17:02:27.803Z
All,1531,127,DONE,relevant-2,Methodological paper,2023-11-17T17:02:28.299Z,2023-11-17T17:02:29.273Z
All,1531,127,DONE,relevant-3,Yes,2023-11-17T17:02:29.552Z,2023-11-17T17:02:30.410Z
All,15584,127,DONE,relevant-1,Yes,2023-11-17T17:02:31.201Z,2023-11-17T17:02:40.636Z
All,15584,127,DONE,relevant-2,Methodological paper,2023-11-17T17:02:41.147Z,2023-11-17T17:02:49.520Z
All,15584,127,DONE,relevant-3,Yes,2023-11-17T17:02:49.816Z,2023-11-17T17:02:50.600Z
All,7931,127,DONE,relevant-1,Yes,2023-11-17T17:02:51.382Z,2023-11-17T17:03:02.950Z
All,7931,127,DONE,relevant-2,Methodological paper,2023-11-17T17:03:03.396Z,2023-11-17T17:03:04.300Z
All,7931,127,DONE,relevant-3,Yes,2023-11-17T17:03:04.541Z,2023-11-17T17:03:05.415Z
All,15205,127,DONE,relevant-1,Yes,2023-11-17T17:03:06.215Z,2023-11-17T17:03:22.950Z
All,15205,127,DONE,relevant-2,Methodological paper,2023-11-17T17:03:23.447Z,2023-11-17T17:03:24.945Z
All,15205,127,DONE,relevant-3,Yes,2023-11-17T17:03:25.214Z,2023-11-17T17:03:26.117Z
All,4638,127,DONE,relevant-1,Yes,2023-11-17T17:03:26.896Z,2023-11-17T17:03:36.373Z
All,4638,127,DONE,relevant-2,Empirical study,2023-11-17T17:03:36.804Z,2023-11-17T17:03:37.559Z
All,4638,127,DONE,relevant-3,Yes,2023-11-17T17:03:37.860Z,2023-11-17T17:03:38.590Z
All,6626,127,DONE,relevant-1,No (or unclear),2023-11-17T17:03:39.322Z,2023-11-17T17:03:55.025Z
All,6626,127,DONE,relevant-2,IRRELEVANT,,
All,6626,127,DONE,relevant-3,IRRELEVANT,,
All,4349,127,DONE,relevant-1,Yes,2023-11-17T17:03:55.930Z,2023-11-17T17:04:09.601Z
All,4349,127,DONE,relevant-2,Methodological paper,2023-11-17T17:04:10.030Z,2023-11-17T17:04:11.050Z
All,4349,127,DONE,relevant-3,Yes,2023-11-17T17:04:11.282Z,2023-11-17T17:04:12.342Z
All,1222,127,DONE,relevant-1,No (or unclear),2023-11-17T17:04:13.049Z,2023-11-17T17:04:34.897Z
All,1222,127,DONE,relevant-2,IRRELEVANT,,
All,1222,127,DONE,relevant-3,IRRELEVANT,,
All,12735,127,DONE,relevant-1,Yes,2023-11-17T17:04:35.726Z,2023-11-17T17:04:48.199Z
All,12735,127,DONE,relevant-2,Methodological paper,2023-11-17T17:04:48.675Z,2023-11-17T17:04:50.692Z
All,12735,127,DONE,relevant-3,Yes,2023-11-17T17:04:50.887Z,2023-11-17T17:04:51.872Z
All,12321,127,DONE,relevant-1,Yes,2023-11-17T17:04:52.540Z,2023-11-17T17:05:11.039Z
All,12321,127,DONE,relevant-2,Methodological paper,2023-11-17T17:05:11.444Z,2023-11-17T17:05:12.830Z
All,12321,127,DONE,relevant-3,Yes,2023-11-17T17:05:13.115Z,2023-11-17T17:05:13.888Z
All,12821,127,DONE,relevant-1,Yes,2023-11-17T17:05:14.581Z,2023-11-17T17:05:19.598Z
All,12821,127,DONE,relevant-2,Methodological paper,2023-11-17T17:05:20.113Z,2023-11-17T17:05:20.948Z
All,12821,127,DONE,relevant-3,Yes,2023-11-17T17:05:21.156Z,2023-11-17T17:05:22.014Z
All,2859,127,DONE,relevant-1,Yes,2023-11-17T17:05:22.725Z,2023-11-17T17:05:28.330Z
All,2859,127,DONE,relevant-2,Methodological paper,2023-11-17T17:05:28.781Z,2023-11-17T17:05:29.664Z
All,2859,127,DONE,relevant-3,Yes,2023-11-17T17:05:29.873Z,2023-11-17T17:05:30.673Z
All,5416,127,DONE,relevant-1,Yes,2023-11-17T17:05:31.506Z,2023-11-17T17:05:36.548Z
All,5416,127,DONE,relevant-2,Methodological paper,2023-11-17T17:05:37.033Z,2023-11-17T17:05:37.876Z
All,5416,127,DONE,relevant-3,Yes,2023-11-17T17:05:38.076Z,2023-11-17T17:05:38.899Z
All,11874,125,DONE,relevant-1,Yes,2023-11-17T21:27:50.248Z,2023-11-17T21:29:30.616Z
All,11874,125,DONE,relevant-2,Empirical study,2023-11-17T21:29:31.012Z,2023-11-17T21:29:33.414Z
All,11874,125,DONE,relevant-3,Yes,2023-11-17T21:29:33.616Z,2023-11-17T21:29:34.776Z
All,9334,125,DONE,relevant-1,Yes,2023-11-17T21:29:35.458Z,2023-11-17T21:31:09.428Z
All,9334,125,DONE,relevant-2,Empirical study,2023-11-17T21:31:09.810Z,2023-11-17T21:31:11.426Z
All,9334,125,DONE,relevant-3,Yes,2023-11-17T21:31:11.617Z,2023-11-17T21:31:12.612Z
All,1129,125,DONE,relevant-1,Yes,2023-11-17T21:31:13.264Z,2023-11-17T21:32:22.735Z
All,1129,125,DONE,relevant-2,Methodological paper,2023-11-17T21:32:23.249Z,2023-11-17T21:32:25.260Z
All,1129,125,DONE,relevant-3,Yes,2023-11-17T21:32:25.463Z,2023-11-17T21:32:26.787Z
All,10351,125,DONE,relevant-1,Yes,2023-11-17T21:32:27.444Z,2023-11-17T21:33:51.391Z
All,10351,125,DONE,relevant-2,Empirical study,2023-11-17T21:33:51.802Z,2023-11-17T21:33:58.481Z
All,10351,125,DONE,relevant-3,Yes,2023-11-17T21:33:58.699Z,2023-11-17T21:33:59.658Z
All,878,125,DONE,relevant-1,Yes,2023-11-17T21:34:00.321Z,2023-11-17T21:35:18.366Z
All,878,125,DONE,relevant-2,Empirical study,2023-11-17T21:35:18.752Z,2023-11-17T21:35:20.068Z
All,878,125,DONE,relevant-3,Yes,2023-11-17T21:35:20.264Z,2023-11-17T21:35:21.304Z
All,10001,125,DONE,relevant-1,Yes,2023-11-17T21:35:21.968Z,2023-11-17T21:36:14.072Z
All,10001,125,DONE,relevant-2,Empirical study,2023-11-17T21:36:14.462Z,2023-11-17T21:36:15.760Z
All,10001,125,DONE,relevant-3,Yes,2023-11-17T21:36:15.970Z,2023-11-17T21:36:16.975Z
All,8694,125,DONE,relevant-1,Yes,2023-11-17T21:36:17.618Z,2023-11-17T21:36:57.550Z
All,8694,125,DONE,relevant-2,Empirical study,2023-11-17T21:36:57.934Z,2023-11-17T21:36:59.335Z
All,8694,125,DONE,relevant-3,Yes,2023-11-17T21:36:59.752Z,2023-11-17T21:37:01.089Z
All,6029,125,DONE,relevant-1,Yes,2023-11-17T21:37:01.759Z,2023-11-17T21:38:00.927Z
All,6029,125,DONE,relevant-2,Methodological paper,2023-11-17T21:38:01.317Z,2023-11-17T21:38:02.303Z
All,6029,125,DONE,relevant-3,Yes,2023-11-17T21:38:02.512Z,2023-11-17T21:38:03.735Z
All,6633,125,DONE,relevant-1,Yes,2023-11-30T18:19:08.736Z,2023-11-30T18:20:58.749Z
All,6633,125,DONE,relevant-2,Overview,2023-11-30T18:20:59.151Z,2023-11-30T18:21:19.003Z
All,6633,125,DONE,relevant-3,IRRELEVANT,,
All,id,128,DONE,welcome,6123297f999ba2b35f7b56644a0ac903e854a877,2023-11-19T18:26:52.433Z,2023-11-19T18:27:28.783Z
All,1017,128,DONE,relevant-1,Yes,2023-11-19T18:27:38.257Z,2023-11-19T18:29:54.322Z
All,1017,128,DONE,relevant-2,Methodological paper,2023-11-19T18:29:54.825Z,2023-11-19T18:30:06.246Z
All,1017,128,DONE,relevant-3,Yes,2023-11-19T18:30:06.502Z,2023-11-19T18:30:12.995Z
All,8952,128,DONE,relevant-1,Yes,2023-11-19T18:30:13.674Z,2023-11-19T18:33:27.887Z
All,8952,128,DONE,relevant-2,Methodological paper,2023-11-19T18:33:28.296Z,2023-11-19T18:33:34.960Z
All,8952,128,DONE,relevant-3,Yes,2023-11-19T18:33:35.190Z,2023-11-19T18:34:04.092Z
All,4780,128,DONE,relevant-1,No (or unclear),2023-11-20T08:18:43.779Z,2023-11-20T08:20:47.358Z
All,4780,128,DONE,relevant-2,IRRELEVANT,,
All,4780,128,DONE,relevant-3,IRRELEVANT,,
All,12428,128,DONE,relevant-1,No (or unclear),2023-11-20T08:20:48.207Z,2023-11-20T08:34:16.856Z
All,12428,128,DONE,relevant-2,IRRELEVANT,,
All,12428,128,DONE,relevant-3,IRRELEVANT,,
All,11514,128,DONE,relevant-1,Yes,2023-11-20T08:34:17.844Z,2023-11-20T08:35:21.935Z
All,11514,128,DONE,relevant-2,Empirical study,2023-11-20T08:35:22.359Z,2023-11-20T08:35:23.376Z
All,11514,128,DONE,relevant-3,Yes,2023-11-20T08:35:23.599Z,2023-11-20T08:35:26.129Z
All,15727,128,DONE,relevant-1,Yes,2023-11-20T17:45:49.830Z,2023-11-20T17:46:58.964Z
All,15727,128,DONE,relevant-2,Methodological paper,2023-11-20T17:46:59.368Z,2023-11-20T17:47:00.706Z
All,15727,128,DONE,relevant-3,Yes,2023-11-20T17:47:00.955Z,2023-11-20T17:47:04.078Z
All,id,129,DONE,welcome,d3d20030e238066c7e6cd23091bbbc214dbffb30,2023-11-20T13:16:12.706Z,2023-11-20T13:16:17.563Z
All,1017,129,DONE,relevant-1,Yes,2023-11-20T13:16:20.281Z,2023-11-20T13:17:36.452Z
All,1017,129,DONE,relevant-2,Empirical study,2023-11-20T13:17:36.891Z,2023-11-20T13:17:47.736Z
All,1017,129,DONE,relevant-3,Yes,2023-11-20T13:17:47.933Z,2023-11-20T13:18:08.273Z
All,8952,129,DONE,relevant-1,Yes,2023-11-20T13:18:08.971Z,2023-11-20T13:19:17.420Z
All,8952,129,DONE,relevant-2,Empirical study,2023-11-20T13:19:17.894Z,2023-11-20T13:19:55.461Z
All,8952,129,DONE,relevant-3,Yes,2023-11-20T13:19:55.662Z,2023-11-20T13:20:08.331Z
All,4780,129,DONE,relevant-1,No (or unclear),2023-11-20T13:20:08.983Z,2023-11-20T13:22:06.830Z
All,4780,129,DONE,relevant-2,IRRELEVANT,,
All,4780,129,DONE,relevant-3,IRRELEVANT,,
All,12428,129,DONE,relevant-1,No (or unclear),2023-11-20T13:22:07.613Z,2023-11-20T13:39:39.747Z
All,12428,129,DONE,relevant-2,IRRELEVANT,,
All,12428,129,DONE,relevant-3,IRRELEVANT,,
All,11514,129,DONE,relevant-1,Yes,2023-11-20T13:39:40.970Z,2023-11-20T13:40:40.986Z
All,11514,129,DONE,relevant-2,Empirical study,2023-11-20T13:40:41.355Z,2023-11-20T13:40:44.171Z
All,11514,129,DONE,relevant-3,Yes,2023-11-20T13:40:44.364Z,2023-11-20T13:40:50.014Z
All,15727,129,DONE,relevant-1,Yes,2023-11-20T13:40:51.936Z,2023-11-20T13:47:16.613Z
All,15727,129,DONE,relevant-2,Empirical study,2023-11-20T13:47:17.044Z,2023-11-20T13:47:18.840Z
All,15727,129,DONE,relevant-3,Yes,2023-11-20T13:47:19.033Z,2023-11-20T13:47:21.470Z
All,12641,129,DONE,relevant-1,Yes,2023-11-20T13:47:22.203Z,2023-11-20T13:49:14.737Z
All,12641,129,DONE,relevant-2,Methodological paper,2023-11-20T13:49:15.155Z,2023-11-20T13:49:19.568Z
All,12641,129,DONE,relevant-3,Yes,2023-11-20T13:49:19.760Z,2023-11-20T13:49:22.233Z
All,9698,129,DONE,relevant-1,Yes,2023-11-20T13:49:22.880Z,2023-11-20T13:54:31.989Z
All,9698,129,DONE,relevant-2,Methodological paper,2023-11-20T13:54:32.502Z,2023-11-20T13:55:08.297Z
All,9698,129,DONE,relevant-3,Yes,2023-11-20T13:55:08.484Z,2023-11-20T13:55:19.530Z
All,4054,129,DONE,relevant-1,Yes,2023-11-20T13:55:20.156Z,2023-11-20T13:58:15.451Z
All,4054,129,DONE,relevant-2,Methodological paper,2023-11-20T13:58:15.860Z,2023-11-20T13:58:16.941Z
All,4054,129,DONE,relevant-3,No (or unclear),2023-11-20T13:58:17.141Z,2023-11-20T13:58:24.426Z
All,14110,129,DONE,relevant-1,No (or unclear),2023-11-20T13:58:25.065Z,2023-11-20T13:59:17.591Z
All,14110,129,DONE,relevant-2,IRRELEVANT,,
All,14110,129,DONE,relevant-3,IRRELEVANT,,
All,15098,129,DONE,relevant-1,Yes,2023-11-20T13:59:18.350Z,2023-11-20T14:00:10.771Z
All,15098,129,DONE,relevant-2,Methodological paper,2023-11-20T14:00:11.153Z,2023-11-20T14:00:15.933Z
All,15098,129,DONE,relevant-3,Yes,2023-11-20T14:00:16.119Z,2023-11-20T14:00:37.607Z
All,10162,129,DONE,relevant-1,Yes,2023-11-20T14:00:38.318Z,2023-11-20T14:01:51.851Z
All,10162,129,DONE,relevant-2,Empirical study,2023-11-20T14:01:52.215Z,2023-11-20T14:01:53.676Z
All,10162,129,DONE,relevant-3,Yes,2023-11-20T14:01:53.864Z,2023-11-20T14:01:55.091Z
All,1301,129,DONE,relevant-1,Yes,2023-11-20T14:01:55.730Z,2023-11-20T14:02:57.580Z
All,1301,129,DONE,relevant-2,Empirical study,2023-11-20T14:02:57.982Z,2023-11-20T14:03:03.944Z
All,1301,129,DONE,relevant-3,No (or unclear),2023-11-20T14:03:04.136Z,2023-11-20T14:03:23.445Z
All,9778,129,DONE,relevant-1,No (or unclear),2023-11-20T14:03:24.065Z,2023-11-20T14:03:56.816Z
All,9778,129,DONE,relevant-2,IRRELEVANT,,
All,9778,129,DONE,relevant-3,IRRELEVANT,,
All,1800,129,DONE,relevant-1,Yes,2023-11-20T14:03:57.555Z,2023-11-20T14:04:03.788Z
All,1800,129,DONE,relevant-2,Empirical study,2023-11-20T14:05:34.377Z,2023-11-20T14:05:37.908Z
All,1800,129,DONE,relevant-3,Yes,2023-11-20T14:05:38.097Z,2023-11-20T14:05:43.603Z
All,14854,129,DONE,relevant-1,Yes,2023-11-20T14:05:44.250Z,2023-11-20T14:07:32.417Z
All,14854,129,DONE,relevant-2,Empirical study,2023-11-20T14:07:33.130Z,2023-11-20T14:08:04.016Z
All,14854,129,DONE,relevant-3,Yes,2023-11-20T14:08:04.209Z,2023-11-20T14:08:05.229Z
All,11874,129,DONE,relevant-1,Yes,2023-11-20T14:08:05.871Z,2023-11-20T14:08:59.637Z
All,11874,129,DONE,relevant-2,Empirical study,2023-11-20T14:09:00.035Z,2023-11-20T14:09:01.122Z
All,11874,129,DONE,relevant-3,Yes,2023-11-20T14:09:01.315Z,2023-11-20T14:09:02.544Z
All,9334,129,DONE,relevant-1,Yes,2023-11-20T14:09:03.188Z,2023-11-20T14:09:52.151Z
All,9334,129,DONE,relevant-2,Empirical study,2023-11-20T14:09:52.539Z,2023-11-20T14:09:53.324Z
All,9334,129,DONE,relevant-3,Yes,2023-11-20T14:09:53.515Z,2023-11-20T14:09:54.205Z
All,1129,129,DONE,relevant-1,No (or unclear),2023-11-20T14:09:54.894Z,2023-11-20T14:12:29.743Z
All,1129,129,DONE,relevant-2,IRRELEVANT,,
All,1129,129,DONE,relevant-3,IRRELEVANT,,
